,city,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,Latitude,Longitude
113,Gouda,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,7.0,9.0,10.0,12.0,15.0,16.0,52.018119350000006,4.711122134697802
114,Grave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,10.0,11.0,51.75787,3.89029
115,Groningen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,7.0,7.0,11.0,23.0,28.0,39.0,46.0,53.0,53.2190652,6.5680077
116,Gulpen-Wittem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,50.79962605,5.890529675273097
117,Haaksbergen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,52.16212075,6.775353827101859
118,Haaren,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,10.0,12.0,12.0,51.6036127,5.2272278
119,Haarlem,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,6.0,7.0,7.0,10.0,17.0,25.0,27.0,29.0,52.3885317,4.6388048
120,Haarlemmermeer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,5.0,8.0,12.0,16.0,18.0,52.3238421,4.715261248876009
121,Halderberge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,5.0,7.0,7.0,51.58976405,4.513483321011281
122,Hardenberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,52.5754706,6.6188242
123,Harderwijk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,8.0,52.33599915,5.640271521392062
