"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Landgraaf";882;"Landgraaf";37262;"30-03-2022";"12-04-2022";290;778.3;4;10.7;0;0
"Landsmeer";415;"Landsmeer";11565;"30-03-2022";"12-04-2022";103;890.6;0;0;1;8.6
"Lansingerland";1621;"Lansingerland";63363;"30-03-2022";"12-04-2022";814;1284.7;5;7.9;0;0
"Laren";417;"Laren";11398;"30-03-2022";"12-04-2022";100;877.3;1;8.8;0;0
"Leeuwarden";80;"Leeuwarden";124481;"30-03-2022";"12-04-2022";1114;894.9;21;16.9;0;0
"Leiden";546;"Leiden";124093;"30-03-2022";"12-04-2022";1315;1059.7;9;7.3;1;0.8
"Leiderdorp";547;"Leiderdorp";27377;"30-03-2022";"12-04-2022";280;1022.8;3;11;0;0
"Leidschendam-Voorburg";1916;"Leidschendam-Voorburg";76433;"30-03-2022";"12-04-2022";909;1189.3;4;5.2;1;1.3
"Lelystad";995;"Lelystad";79811;"30-03-2022";"12-04-2022";614;769.3;9;11.3;1;1.3
"Leudal";1640;"Leudal";36045;"30-03-2022";"12-04-2022";263;729.6;2;5.5;1;2.8
"Leusden";327;"Leusden";30544;"30-03-2022";"12-04-2022";343;1123;8;26.2;1;3.3
"Lingewaard";1705;"Lingewaard";46822;"30-03-2022";"12-04-2022";461;984.6;6;12.8;0;0
"Lisse";553;"Lisse";22982;"30-03-2022";"12-04-2022";250;1087.8;1;4.4;0;0
"Lochem";262;"Lochem";33948;"30-03-2022";"12-04-2022";424;1249;1;2.9;0;0
"Loon op Zand";809;"Loon op Zand";23504;"30-03-2022";"12-04-2022";192;816.9;3;12.8;0;0
"Lopik";331;"Lopik";14456;"30-03-2022";"12-04-2022";113;781.7;0;0;0;0
"Losser";168;"Losser";22888;"30-03-2022";"12-04-2022";262;1144.7;2;8.7;0;0
"Maasdriel";263;"Maasdriel";25452;"30-03-2022";"12-04-2022";158;620.8;3;11.8;0;0
"Maasgouw";1641;"Maasgouw";23947;"30-03-2022";"12-04-2022";203;847.7;0;0;0;0
"Maashorst";1991;"Maashorst";58108;"30-03-2022";"12-04-2022";402;691.8;4;6.9;1;1.7
"Maassluis";556;"Maassluis";33567;"30-03-2022";"12-04-2022";314;935.4;3;8.9;0;0
"Maastricht";935;"Maastricht";120227;"30-03-2022";"12-04-2022";753;626.3;0;0;1;0.8
"Medemblik";420;"Medemblik";45165;"30-03-2022";"12-04-2022";354;783.8;4;8.9;0;0
"Meerssen";938;"Meerssen";18661;"30-03-2022";"12-04-2022";115;616.3;0;0;0;0
"Meierijstad";1948;"Meierijstad";81647;"30-03-2022";"12-04-2022";561;687.1;11;13.5;1;1.2
"Meppel";119;"Meppel";34386;"30-03-2022";"12-04-2022";392;1140;0;0;0;0
"Middelburg";687;"Middelburg";48964;"30-03-2022";"12-04-2022";556;1135.5;5;10.2;0;0
"Midden-Delfland";1842;"Midden-Delfland";19414;"30-03-2022";"12-04-2022";204;1050.8;5;25.8;0;0
"Midden-Drenthe";1731;"Midden-Drenthe";33381;"30-03-2022";"12-04-2022";353;1057.5;1;3;0;0
"Midden-Groningen";1952;"Midden-Groningen";60726;"30-03-2022";"12-04-2022";763;1256.5;10;16.5;1;1.6
"Moerdijk";1709;"Moerdijk";37185;"30-03-2022";"12-04-2022";278;747.6;4;10.8;0;0
"Molenlanden";1978;"Molenlanden";44130;"30-03-2022";"12-04-2022";330;747.8;6;13.6;0;0
"Montferland";1955;"Montferland";36031;"30-03-2022";"12-04-2022";380;1054.6;3;8.3;0;0
"Montfoort";335;"Montfoort";13896;"30-03-2022";"12-04-2022";127;913.9;0;0;0;0
"Mook en Middelaar";944;"Mook en Middelaar";7909;"30-03-2022";"12-04-2022";68;859.8;2;25.3;0;0
"Neder-Betuwe";1740;"Neder-Betuwe";24648;"30-03-2022";"12-04-2022";203;823.6;5;20.3;0;0
"Nederweert";946;"Nederweert";17171;"30-03-2022";"12-04-2022";148;861.9;4;23.3;0;0
"Nieuwegein";356;"Nieuwegein";63866;"30-03-2022";"12-04-2022";705;1103.9;4;6.3;0;0
"Nieuwkoop";569;"Nieuwkoop";29151;"30-03-2022";"12-04-2022";346;1186.9;2;6.9;0;0
"Nijkerk";267;"Nijkerk";43600;"30-03-2022";"12-04-2022";507;1162.8;6;13.8;0;0
"Nijmegen";268;"Nijmegen";177359;"30-03-2022";"12-04-2022";2098;1182.9;24;13.5;3;1.7
"Nissewaard";1930;"Nissewaard";85440;"30-03-2022";"12-04-2022";897;1049.9;13;15.2;1;1.2
"Noardeast-Fryslân";1970;"Noardeast-Fryslân";45481;"30-03-2022";"12-04-2022";366;804.7;5;11;0;0
"Noord-Beveland";1695;"Noord-Beveland";7581;"30-03-2022";"12-04-2022";53;699.1;2;26.4;0;0
"Noordenveld";1699;"Noordenveld";31214;"30-03-2022";"12-04-2022";358;1146.9;3;9.6;0;0
"Noordoostpolder";171;"Noordoostpolder";47583;"30-03-2022";"12-04-2022";371;779.7;3;6.3;0;0
"Noordwijk";575;"Noordwijk";44062;"30-03-2022";"12-04-2022";431;978.2;2;4.5;0;0
"Nuenen, Gerwen en Nederwetten";820;"Nuenen, Gerwen en Nederwetten";23702;"30-03-2022";"12-04-2022";215;907.1;6;25.3;1;4.2
"Nunspeet";302;"Nunspeet";28021;"30-03-2022";"12-04-2022";275;981.4;3;10.7;0;0
"Oegstgeest";579;"Oegstgeest";25064;"30-03-2022";"12-04-2022";259;1033.4;2;8;0;0
"Oirschot";823;"Oirschot";18842;"30-03-2022";"12-04-2022";103;546.7;2;10.6;0;0
"Oisterwijk";824;"Oisterwijk";32373;"30-03-2022";"12-04-2022";217;670.3;1;3.1;0;0
"Oldambt";1895;"Oldambt";38277;"30-03-2022";"12-04-2022";452;1180.9;5;13.1;0;0
"Oldebroek";269;"Oldebroek";23760;"30-03-2022";"12-04-2022";275;1157.4;1;4.2;0;0
"Oldenzaal";173;"Oldenzaal";31701;"30-03-2022";"12-04-2022";356;1123;4;12.6;0;0
"Olst-Wijhe";1773;"Olst-Wijhe";18361;"30-03-2022";"12-04-2022";236;1285.3;3;16.3;0;0
"Ommen";175;"Ommen";18295;"30-03-2022";"12-04-2022";245;1339.2;2;10.9;0;0
"Oost Gelre";1586;"Oost Gelre";29574;"30-03-2022";"12-04-2022";401;1355.9;7;23.7;0;0
"Oosterhout";826;"Oosterhout";56206;"30-03-2022";"12-04-2022";353;628;5;8.9;0;0
"Ooststellingwerf";85;"Ooststellingwerf";25464;"30-03-2022";"12-04-2022";252;989.6;2;7.9;0;0
"Oostzaan";431;"Oostzaan";9689;"30-03-2022";"12-04-2022";89;918.6;0;0;1;10.3
"Opmeer";432;"Opmeer";12009;"30-03-2022";"12-04-2022";138;1149.1;2;16.7;0;0
"Opsterland";86;"Opsterland";29812;"30-03-2022";"12-04-2022";241;808.4;2;6.7;0;0
"Oss";828;"Oss";92526;"30-03-2022";"12-04-2022";602;650.6;12;13;1;1.1
