"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Maasdriel";263;"Maasdriel";25030;"21-04-2021";"04-05-2021";282;1126.6;1;4;0;0
"Maasgouw";1641;"Maasgouw";23965;"21-04-2021";"04-05-2021";153;638.4;1;4.2;2;8.3
"Maassluis";556;"Maassluis";33213;"21-04-2021";"04-05-2021";192;578.1;3;9;1;3
"Maastricht";935;"Maastricht";121575;"21-04-2021";"04-05-2021";730;600.5;6;4.9;0;0
"Medemblik";420;"Medemblik";45101;"21-04-2021";"04-05-2021";150;332.6;0;0;0;0
"Meerssen";938;"Meerssen";18828;"21-04-2021";"04-05-2021";134;711.7;2;10.6;0;0
"Meierijstad";1948;"Meierijstad";81194;"21-04-2021";"04-05-2021";688;847.4;2;2.5;1;1.2
"Meppel";119;"Meppel";33920;"21-04-2021";"04-05-2021";104;306.6;1;2.9;1;2.9
"Middelburg";687;"Middelburg";48822;"21-04-2021";"04-05-2021";201;411.7;3;6.1;0;0
"Midden-Delfland";1842;"Midden-Delfland";19341;"21-04-2021";"04-05-2021";113;584.3;0;0;0;0
"Midden-Drenthe";1731;"Midden-Drenthe";33185;"21-04-2021";"04-05-2021";100;301.3;1;3;2;6
"Midden-Groningen";1952;"Midden-Groningen";60797;"21-04-2021";"04-05-2021";152;250;2;3.3;1;1.6
"Mill en Sint Hubert";815;"Mill en Sint Hubert";10939;"21-04-2021";"04-05-2021";54;493.6;0;0;0;0
"Moerdijk";1709;"Moerdijk";37129;"21-04-2021";"04-05-2021";237;638.3;1;2.7;0;0
"Molenlanden";1978;"Molenlanden";43909;"21-04-2021";"04-05-2021";434;988.4;0;0;1;2.3
"Montferland";1955;"Montferland";36011;"21-04-2021";"04-05-2021";233;647;0;0;0;0
"Montfoort";335;"Montfoort";13917;"21-04-2021";"04-05-2021";98;704.2;0;0;0;0
"Mook en Middelaar";944;"Mook en Middelaar";7847;"21-04-2021";"04-05-2021";40;509.7;0;0;0;0
"Neder-Betuwe";1740;"Neder-Betuwe";24339;"21-04-2021";"04-05-2021";186;764.2;1;4.1;0;0
"Nederweert";946;"Nederweert";17019;"21-04-2021";"04-05-2021";93;546.4;0;0;0;0
"Nieuwegein";356;"Nieuwegein";63462;"21-04-2021";"04-05-2021";301;474.3;1;1.6;1;1.6
"Nieuwkoop";569;"Nieuwkoop";28811;"21-04-2021";"04-05-2021";161;558.8;3;10.4;1;3.5
"Nijkerk";267;"Nijkerk";43171;"21-04-2021";"04-05-2021";203;470.2;0;0;0;0
"Nijmegen";268;"Nijmegen";177659;"21-04-2021";"04-05-2021";1195;672.6;8;4.5;5;2.8
"Nissewaard";1930;"Nissewaard";85219;"21-04-2021";"04-05-2021";548;643;6;7;2;2.3
"Noardeast-Fryslân";1970;"Noardeast-Fryslân";45228;"21-04-2021";"04-05-2021";170;375.9;2;4.4;0;0
"Noord-Beveland";1695;"Noord-Beveland";7392;"21-04-2021";"04-05-2021";37;500.5;1;13.5;0;0
"Noordenveld";1699;"Noordenveld";31253;"21-04-2021";"04-05-2021";71;227.2;1;3.2;0;0
"Noordoostpolder";171;"Noordoostpolder";47291;"21-04-2021";"04-05-2021";208;439.8;0;0;1;2.1
"Noordwijk";575;"Noordwijk";43508;"21-04-2021";"04-05-2021";161;370;2;4.6;0;0
"Nuenen, Gerwen en Nederwetten";820;"Nuenen, Gerwen en Nederwetten";23383;"21-04-2021";"04-05-2021";147;628.7;2;8.6;0;0
"Nunspeet";302;"Nunspeet";27851;"21-04-2021";"04-05-2021";218;782.7;1;3.6;1;3.6
"Oegstgeest";579;"Oegstgeest";24840;"21-04-2021";"04-05-2021";110;442.8;0;0;0;0
"Oirschot";823;"Oirschot";18714;"21-04-2021";"04-05-2021";124;662.6;0;0;0;0
"Oisterwijk";824;"Oisterwijk";32130;"21-04-2021";"04-05-2021";147;457.5;0;0;0;0
"Oldambt";1895;"Oldambt";38209;"21-04-2021";"04-05-2021";122;319.3;0;0;1;2.6
"Oldebroek";269;"Oldebroek";23646;"21-04-2021";"04-05-2021";105;444;1;4.2;0;0
"Oldenzaal";173;"Oldenzaal";31836;"21-04-2021";"04-05-2021";121;380.1;0;0;0;0
"Olst-Wijhe";1773;"Olst-Wijhe";18252;"21-04-2021";"04-05-2021";86;471.2;2;11;0;0
"Ommen";175;"Ommen";18009;"21-04-2021";"04-05-2021";45;249.9;0;0;0;0
"Oost Gelre";1586;"Oost Gelre";29627;"21-04-2021";"04-05-2021";141;475.9;1;3.4;1;3.4
"Oosterhout";826;"Oosterhout";55982;"21-04-2021";"04-05-2021";259;462.6;1;1.8;0;0
"Ooststellingwerf";85;"Ooststellingwerf";25469;"21-04-2021";"04-05-2021";80;314.1;1;3.9;0;0
"Oostzaan";431;"Oostzaan";9735;"21-04-2021";"04-05-2021";32;328.7;0;0;0;0
"Opmeer";432;"Opmeer";11836;"21-04-2021";"04-05-2021";22;185.9;0;0;0;0
"Opsterland";86;"Opsterland";29733;"21-04-2021";"04-05-2021";108;363.2;0;0;0;0
