"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000"
"Waadhoeke";46309;"05-04-2023";"18-04-2023";0;0
"Waalre";17626;"05-04-2023";"18-04-2023";2;11,3
"Waalwijk";49342;"05-04-2023";"18-04-2023";0;0
"Waddinxveen";31342;"05-04-2023";"18-04-2023";3;9,6
"Wageningen";39939;"05-04-2023";"18-04-2023";0;0
"Wassenaar";27115;"05-04-2023";"18-04-2023";0;0
"Waterland";17343;"05-04-2023";"18-04-2023";2;11,5
"Weert";50346;"05-04-2023";"18-04-2023";0;0
"West Betuwe";51971;"05-04-2023";"18-04-2023";6;11,5
"West Maas en Waal";19675;"05-04-2023";"18-04-2023";2;10,2
"Westerkwartier";64306;"05-04-2023";"18-04-2023";0;0
"Westerveld";19854;"05-04-2023";"18-04-2023";1;5
"Westervoort";14944;"05-04-2023";"18-04-2023";1;6,7
"Westerwolde";26571;"05-04-2023";"18-04-2023";3;11,3
"Westland";112448;"05-04-2023";"18-04-2023";7;6,2
"Weststellingwerf";26278;"05-04-2023";"18-04-2023";0;0
"Wierden";24643;"05-04-2023";"18-04-2023";0;0
"Wijchen";41344;"05-04-2023";"18-04-2023";0;0
"Wijdemeren";24494;"05-04-2023";"18-04-2023";0;0
"Wijk bij Duurstede";23921;"05-04-2023";"18-04-2023";1;4,2
"Winterswijk";29185;"05-04-2023";"18-04-2023";0;0
"Woensdrecht";22112;"05-04-2023";"18-04-2023";0;0
"Woerden";52882;"05-04-2023";"18-04-2023";1;1,9
"Wormerland";16381;"05-04-2023";"18-04-2023";1;6,1
"Woudenberg";13873;"05-04-2023";"18-04-2023";0;0
"Zaanstad";157166;"05-04-2023";"18-04-2023";1;0,6
"Zaltbommel";29957;"05-04-2023";"18-04-2023";2;6,7
"Zandvoort";17107;"05-04-2023";"18-04-2023";0;0
"Zeewolde";23348;"05-04-2023";"18-04-2023";2;8,6
"Zeist";65987;"05-04-2023";"18-04-2023";6;9,1
"Zevenaar";44645;"05-04-2023";"18-04-2023";2;4,5
"Zoetermeer";125767;"05-04-2023";"18-04-2023";7;5,6
"Zoeterwoude";9302;"05-04-2023";"18-04-2023";0;0
"Zuidplas";45794;"05-04-2023";"18-04-2023";2;4,4
"Zundert";22260;"05-04-2023";"18-04-2023";0;0
"Zutphen";48330;"05-04-2023";"18-04-2023";6;12,4
"Zwartewaterland";23012;"05-04-2023";"18-04-2023";1;4,3
"Zwijndrecht";44789;"05-04-2023";"18-04-2023";0;0
"Zwolle";130668;"05-04-2023";"18-04-2023";2;1,5
