"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"Schiermonnikoog";944;"16-11-2022";"29-11-2022";0;0;0;0;0;0
"Schouwen-Duiveland";34152;"16-11-2022";"29-11-2022";19;55,6;1;2,9;0;0
"Simpelveld";10425;"16-11-2022";"29-11-2022";7;67,1;0;0;0;0
"Sint-Michielsgestel";29731;"16-11-2022";"29-11-2022";17;57,2;0;0;0;0
"Sittard-Geleen";91719;"16-11-2022";"29-11-2022";100;109;6;6,5;0;0
"Sliedrecht";25897;"16-11-2022";"29-11-2022";7;27;1;3,9;0;0
"Sluis";23141;"16-11-2022";"29-11-2022";19;82,1;1;4,3;0;0
"Smallingerland";55895;"16-11-2022";"29-11-2022";14;25;0;0;0;0
"Soest";47113;"16-11-2022";"29-11-2022";29;61,6;2;4,2;0;0
"Someren";19701;"16-11-2022";"29-11-2022";7;35,5;1;5,1;0;0
"Son en Breugel";17775;"16-11-2022";"29-11-2022";13;73,1;0;0;0;0
"Stadskanaal";31851;"16-11-2022";"29-11-2022";10;31,4;0;0;0;0
"Staphorst";17282;"16-11-2022";"29-11-2022";3;17,4;0;0;0;0
"Stede Broec";21947;"16-11-2022";"29-11-2022";9;41;0;0;0;0
"Steenbergen";24333;"16-11-2022";"29-11-2022";6;24,7;1;4,1;0;0
"Steenwijkerland";44741;"16-11-2022";"29-11-2022";21;46,9;0;0;0;0
"Stein";24803;"16-11-2022";"29-11-2022";15;60,5;1;4;0;0
"Stichtse Vecht";65240;"16-11-2022";"29-11-2022";25;38,3;2;3,1;0;0
"Súdwest-Fryslân";90300;"16-11-2022";"29-11-2022";48;53,2;3;3,3;0;0
"Terneuzen";54501;"16-11-2022";"29-11-2022";32;58,7;1;1,8;0;0
"Terschelling";4960;"16-11-2022";"29-11-2022";1;20,2;0;0;0;0
"Texel";13687;"16-11-2022";"29-11-2022";3;21,9;1;7,3;0;0
"Teylingen";37942;"16-11-2022";"29-11-2022";21;55,3;1;2,6;0;0
"Tholen";26401;"16-11-2022";"29-11-2022";11;41,7;4;15,2;0;0
"Tiel";42277;"16-11-2022";"29-11-2022";22;52;1;2,4;0;0
"Tilburg";224459;"16-11-2022";"29-11-2022";104;46,3;5;2,2;0;0
"Tubbergen";21364;"16-11-2022";"29-11-2022";6;28,1;1;4,7;0;0
"Twenterand";33718;"16-11-2022";"29-11-2022";6;17,8;1;3;0;0
"Tynaarlo";34221;"16-11-2022";"29-11-2022";9;26,3;0;0;0;0
"Tytsjerksteradiel";32282;"16-11-2022";"29-11-2022";17;52,7;0;0;0;0
"Uitgeest";13563;"16-11-2022";"29-11-2022";7;51,6;0;0;0;0
"Uithoorn";31018;"16-11-2022";"29-11-2022";18;58;0;0;0;0
"Urk";21468;"16-11-2022";"29-11-2022";7;32,6;0;0;0;0
"Utrecht";361699;"16-11-2022";"29-11-2022";229;63,3;8;2,2;0;0
"Utrechtse Heuvelrug";49981;"16-11-2022";"29-11-2022";20;40;4;8;1;2
"Vaals";10135;"16-11-2022";"29-11-2022";11;108,5;0;0;0;0
"Valkenburg aan de Geul";16167;"16-11-2022";"29-11-2022";16;99;0;0;0;0
"Valkenswaard";31236;"16-11-2022";"29-11-2022";13;41,6;1;3,2;0;0
"Veendam";27466;"16-11-2022";"29-11-2022";21;76,5;0;0;0;0
"Veenendaal";67671;"16-11-2022";"29-11-2022";33;48,8;1;1,5;0;0
"Veere";21850;"16-11-2022";"29-11-2022";17;77,8;1;4,6;0;0
"Veldhoven";45822;"16-11-2022";"29-11-2022";17;37,1;1;2,2;0;0
"Velsen";68482;"16-11-2022";"29-11-2022";21;30,7;0;0;0;0
"Venlo";102136;"16-11-2022";"29-11-2022";54;52,9;0;0;0;0
"Venray";43964;"16-11-2022";"29-11-2022";17;38,7;1;2,3;0;0
"Vijfheerenlanden";58788;"16-11-2022";"29-11-2022";15;25,5;1;1,7;0;0
"Vlaardingen";74143;"16-11-2022";"29-11-2022";34;45,9;4;5,4;0;0
"Vlieland";1195;"16-11-2022";"29-11-2022";0;0;0;0;0;0
"Vlissingen";44585;"16-11-2022";"29-11-2022";40;89,7;3;6,7;0;0
"Voerendaal";12426;"16-11-2022";"29-11-2022";13;104,6;0;0;0;0
"Voorschoten";25627;"16-11-2022";"29-11-2022";10;39;1;3,9;0;0
"Voorst";24994;"16-11-2022";"29-11-2022";9;36;0;0;0;0
"Vught";31783;"16-11-2022";"29-11-2022";15;47,2;1;3,1;0;0
"Waadhoeke";46309;"16-11-2022";"29-11-2022";30;64,8;0;0;0;0
"Waalre";17626;"16-11-2022";"29-11-2022";11;62,4;0;0;0;0
"Waalwijk";49342;"16-11-2022";"29-11-2022";29;58,8;1;2;0;0
"Waddinxveen";31342;"16-11-2022";"29-11-2022";17;54,2;0;0;0;0
"Wageningen";39939;"16-11-2022";"29-11-2022";23;57,6;2;5;0;0
"Wassenaar";27115;"16-11-2022";"29-11-2022";20;73,8;1;3,7;0;0
"Waterland";17343;"16-11-2022";"29-11-2022";11;63,4;1;5,8;0;0
"Weert";50346;"16-11-2022";"29-11-2022";42;83,4;0;0;0;0
"West Betuwe";51971;"16-11-2022";"29-11-2022";38;73,1;4;7,7;0;0
"West Maas en Waal";19675;"16-11-2022";"29-11-2022";9;45,7;0;0;0;0
"Westerkwartier";64306;"16-11-2022";"29-11-2022";15;23,3;0;0;0;0
"Westerveld";19854;"16-11-2022";"29-11-2022";4;20,1;2;10,1;0;0
"Westervoort";14944;"16-11-2022";"29-11-2022";8;53,5;0;0;0;0
"Westerwolde";26571;"16-11-2022";"29-11-2022";7;26,3;2;7,5;0;0
"Westland";112448;"16-11-2022";"29-11-2022";25;22,2;4;3,6;0;0
"Weststellingwerf";26278;"16-11-2022";"29-11-2022";14;53,3;2;7,6;0;0
"Westvoorne";14960;"16-11-2022";"29-11-2022";7;46,8;2;13,4;0;0
"Wierden";24643;"16-11-2022";"29-11-2022";4;16,2;0;0;0;0
"Wijchen";41344;"16-11-2022";"29-11-2022";24;58;2;4,8;0;0
